training_iteration,timesteps_total,reward
40,1000000,0.0
80,2000000,-3.0
120,3000000,7.333333333333333
160,4000000,8.0
200,5000000,-1.0
240,6000000,-3.0
280,7000000,-2.0
320,8000000,-0.5625
360,9000000,-2.3125
400,10000000,1.4705882352941178
440,11000000,11.764705882352942
480,12000000,10.764705882352942
520,13000000,14.894736842105264
560,14000000,7.25
600,15000000,16.22222222222222
640,16000000,16.88235294117647
680,17000000,17.941176470588236
720,18000000,17.95
760,19000000,17.904761904761905
800,20000000,17.166666666666668
840,21000000,19.272727272727273
880,22000000,19.0
920,23000000,18.736842105263158
960,24000000,17.9
1000,25000000,17.6
1040,26000000,19.235294117647058
1080,27000000,17.94736842105263
1120,28000000,18.9
1160,29000000,18.952380952380953
1200,30000000,18.88888888888889
1240,31000000,19.35
1280,32000000,19.105263157894736
1320,33000000,18.9
1360,34000000,19.333333333333332
1400,35000000,19.9
1440,36000000,19.45
1480,37000000,19.142857142857142
1520,38000000,18.94736842105263
1560,39000000,18.57894736842105
1600,40000000,18.65
1640,41000000,20.227272727272727
1680,42000000,19.047619047619047
1720,43000000,19.666666666666668
1760,44000000,19.8
1800,45000000,19.636363636363637
1840,46000000,19.94736842105263
1880,47000000,19.40909090909091
1920,48000000,19.55
1960,49000000,19.35
2000,50000000,18.916666666666668
